Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-10.700933	186.3617	315.9162	-229.52238	910.0	-0.35694522	0.07408933	0.06867456	-0.526073	5000	-0.040732086	581.8952	-0.0053258836	-376.72806	7.4159985	0.0056281816	11.33128833770752
1	-114.03798	111.28684	69.95118	-242.61476	911.2	-8.420568	9.293282	20.949629	-17.620525	10000	0.024071537	228.99738	-0.004703354	-149.91486	7.3448877	0.0032205964	22.206198692321777
2	-98.76097	114.67339	48.631477	-236.13683	864.8	-4.558493	19.346254	27.181633	-30.354591	15000	0.00068686064	187.98405	-0.0021272644	-99.81211	7.3045187	0.0018701134	34.708351850509644
3	16.497492	176.16826	199.13736	-293.88177	1000.0	-4.8156257	17.381763	31.558748	-32.288986	20000	-0.003202742	128.69424	-0.003232875	-68.240585	7.3339057	0.0023673864	47.745858669281006
4	-61.882965	120.75839	151.2561	-206.274	826.1667	-10.995943	20.178347	37.15216	-39.42302	25000	-0.030673398	113.28873	-0.0036196355	-38.455902	7.32665	0.0033681178	60.78171515464783
5	-6.387082	148.8671	188.02809	-210.22426	1000.0	-1.1942855	18.680866	44.668068	-29.313482	30000	0.029045338	159.0165	-0.003650926	-101.693924	7.3843117	0.001295295	73.62879586219788
6	46.14249	97.9361	224.09914	-47.955215	897.0	9.823638	19.133066	44.64145	-20.792015	35000	0.03767091	190.97896	-0.0021693371	-119.05533	7.361837	0.0021724415	86.9929723739624
7	44.112625	107.182755	204.96576	-118.34365	828.0	2.562645	13.6065855	32.75842	-18.463385	40000	0.0050976076	117.21285	-0.0021489756	-63.30344	7.3394904	0.0013338049	100.02944874763489
8	-4.235152	187.3928	276.60162	-326.95023	798.8333	-1.5024806	13.029516	35.172142	-23.264364	45000	0.0020964446	247.37515	-0.0017538832	-194.1194	7.4135447	0.0010002146	112.65189814567566
9	-9.596036	148.9887	171.27327	-276.98508	980.0	-8.571269	19.609652	46.25981	-43.644276	50000	0.02047633	195.97287	-0.0024172664	-142.296	7.353161	0.0018723375	125.17502117156982
10	103.09861	120.12267	311.12943	-44.703724	861.6	8.87548	12.571363	45.071957	-8.209022	55000	-0.00884177	79.11981	-0.004222935	-26.330555	7.362332	0.00194025	137.91261196136475
11	101.87504	101.18899	316.28357	-2.7741995	826.8333	13.422631	13.91704	44.286297	-9.994481	60000	-0.036639433	77.54989	-0.0037999935	-42.281326	7.3505445	0.00065491704	150.3216552734375
12	153.35432	76.860275	298.79962	81.78525	1000.0	7.636087	12.790231	40.983093	-12.163344	65000	0.0028525742	107.61744	-0.0054148096	-74.82201	7.3551717	0.0017711653	163.15894412994385
13	160.48705	89.14237	245.87546	36.939217	812.3333	21.22301	13.232597	60.170925	-2.126229	70000	0.010342279	120.97694	-0.0032825377	-88.356155	7.377881	0.0010256716	175.6168167591095
14	155.47975	127.05573	354.07715	-39.027172	994.6	14.7149515	12.437574	47.691006	-4.0900435	75000	-0.028964777	309.2556	-0.0009416621	-277.83386	7.3682127	0.0019547618	188.48197841644287
15	158.99313	94.20111	254.25653	11.199609	822.0	16.025612	10.393407	42.43217	-26.24294	80000	-0.035285674	168.02667	-0.000931181	-123.31996	7.3514524	0.0012180429	201.182697057724
16	247.24033	82.06416	375.68237	131.13571	931.2	21.801348	9.735585	43.89023	-4.1022515	85000	0.0024140305	144.89478	-0.0015150292	-73.702225	7.332955	0.0010597565	213.99208331108093
17	209.75552	121.97082	345.99313	19.642319	848.8	16.921553	11.667077	48.514763	-5.1747603	90000	0.019440277	129.18028	-0.0013718903	-72.46788	7.372875	-0.00021931133	226.61679768562317
18	216.71272	169.92468	389.07047	-9.378362	1000.0	21.734535	12.002169	46.626057	-4.420387	95000	-0.0025869354	377.44693	-0.0007011993	-288.31	7.3241353	-0.00020204391	239.69518780708313
19	161.91739	26.516834	183.75891	111.427635	876.4	23.661066	12.593968	75.58128	0.41490424	100000	0.034490198	174.71358	-0.0014689527	-135.46146	7.4088435	0.0013328703	253.4247341156006
20	100.798325	133.08624	311.99622	-72.814224	1000.0	8.496887	19.46363	45.317024	-61.84567	105000	0.017968075	242.9888	-0.0016459115	-175.05762	7.3843923	0.0007008142	266.0688238143921
21	233.44165	108.37944	319.40012	35.075176	936.0	15.912858	9.451762	42.152905	-14.273157	110000	-0.006251886	91.40636	-0.0027374937	-60.713875	7.3452077	0.001229544	279.1401791572571
22	268.2198	92.764275	342.8771	90.33428	1000.0	22.277378	10.360967	38.257973	-13.948966	115000	-0.0002511818	84.57597	-0.002391152	-28.95221	7.3445516	0.0012422148	292.49499320983887
23	155.24315	155.2311	402.99457	28.596632	1000.0	16.972832	11.275715	67.80058	-3.1942244	120000	0.009709746	170.35002	-0.0015643565	-109.50285	7.3624377	8.8922454e-05	300.0290536880493
24	133.693	138.66841	325.75223	-66.47995	1000.0	9.211916	14.579295	37.8685	-14.199851	125000	-0.029353803	152.61006	-0.0005676504	-105.87668	7.3813033	0.0008285404	306.51872968673706
25	164.9312	142.35637	409.81683	-11.114042	842.0	13.708108	21.048899	50.375595	-39.34074	130000	-0.048507247	166.38698	-0.0011368953	-119.635864	7.390499	0.0007288229	314.80142092704773
26	225.44022	146.55171	397.0805	24.93763	1000.0	21.857813	17.927612	50.290855	-30.806116	135000	-0.013352535	96.80631	-0.0010452028	-50.363083	7.3290772	0.00022522593	320.53064465522766
27	140.77534	163.2865	382.75046	-81.51276	1000.0	16.709585	18.71388	53.53036	-19.329863	140000	0.0075450884	186.92943	-0.0012466782	-145.71988	7.3317127	0.0005161426	327.3217816352844
28	235.24284	65.28433	325.49396	129.8061	1000.0	19.254759	9.32911	49.986576	-2.6062381	145000	0.0063073607	186.33012	-0.0019283812	-139.79987	7.346939	3.2037115e-05	338.0718398094177
29	75.295906	101.74241	257.13028	-33.832466	1000.0	23.963198	16.036467	60.776764	-12.250228	150000	0.01162204	517.8682	-0.0010949373	-465.909	7.399603	0.0010656235	347.34464979171753
30	307.04868	31.605473	350.45135	269.70135	1000.0	23.67691	13.761802	53.250015	-15.967481	155000	-0.0052796965	141.7805	-0.0015107775	-80.34719	7.387235	0.00050383265	355.4874665737152
31	265.12643	76.18753	396.37296	158.95049	1000.0	21.563309	12.513177	53.71895	-2.7679627	160000	0.0030714897	111.47515	-0.001730349	-55.39215	7.400593	-6.473961e-05	372.30565333366394
32	223.43848	189.74579	402.4835	-130.33551	1000.0	20.187187	14.558309	54.058674	-11.899466	165000	0.00038725737	224.04836	-0.0013098785	-163.66077	7.3276234	0.00014471402	387.7348747253418
33	298.11594	174.39972	473.50177	-3.8609972	1000.0	20.852621	23.94169	55.404255	-39.702946	170000	-0.049642827	129.62033	-0.0010481626	-88.64389	7.358056	-0.00015324153	400.6427788734436
34	344.98413	32.61974	388.23697	308.85873	1000.0	37.62385	7.2938023	55.851295	9.5903015	175000	-0.036534827	112.85395	-0.0010678582	-63.772964	7.338588	0.00018068738	413.1448287963867
35	197.56866	125.333916	392.8619	36.461506	1000.0	16.331928	21.701351	57.293022	-42.407238	180000	0.02156706	141.83583	-0.0009868741	-93.290985	7.3061204	0.0005941582	426.03940439224243
36	256.24908	108.73906	372.92383	123.2524	1000.0	19.689129	14.594757	53.091507	-11.179259	185000	-0.044523906	84.93036	-0.0011997893	-33.385895	7.338922	0.00035382423	438.70296478271484
37	249.46603	66.08651	338.38013	178.87964	1000.0	15.16444	11.142801	49.330307	-9.188715	190000	0.023497803	118.256874	-0.0012073908	-67.55059	7.3441563	-0.0001367774	451.58841705322266
38	302.3675	48.461742	381.8846	242.46756	1000.0	27.823322	13.476979	49.561935	-9.871068	195000	0.007903584	59.613445	-0.0009942064	-20.646378	7.3631687	-0.00016963834	464.66719126701355
39	248.44487	79.82612	326.66278	97.41186	1000.0	25.903265	11.868737	50.45218	-0.6533294	200000	0.0028212867	411.2775	-0.0005935768	-353.06824	7.384292	0.00014400248	477.7253305912018
40	320.3108	60.457283	393.51007	219.8025	1000.0	29.008518	16.075089	64.41728	-31.095888	205000	0.0034175355	117.75529	-0.0010903382	-79.38129	7.3524904	0.00033292564	490.9688651561737
41	370.7848	26.80532	409.84586	327.31973	1000.0	36.380604	7.983941	52.36222	3.863615	210000	0.008356041	65.97467	-0.00097642234	-25.800686	7.3519564	0.00046736203	503.46217918395996
42	268.29828	113.72355	444.0486	86.04375	1000.0	24.672295	12.605244	50.876305	-5.8456492	215000	0.01678501	102.21378	-0.0013264231	-34.936806	7.351041	-0.0003160189	516.5303356647491
43	340.03107	49.020836	384.8209	253.74619	1000.0	26.656246	13.662761	60.931236	-1.2598748	220000	-0.029741943	168.63521	-0.0010923222	-92.861565	7.3230624	-0.00018316641	529.1584780216217
44	347.4883	66.74552	449.74835	261.73462	1000.0	28.801374	12.177572	53.596977	-7.0115967	225000	-0.018562729	115.246925	-0.0010776408	-60.192825	7.345736	0.00046101748	541.5214426517487
45	310.95697	71.53485	394.69217	214.68933	1000.0	32.8274	8.401169	62.33876	14.442036	230000	-0.026648007	143.49602	-0.00088973343	-111.564644	7.3815174	0.0003513944	554.4662101268768
46	337.23615	89.02476	463.27353	249.97928	1000.0	25.941538	14.062944	55.161686	-29.291262	235000	0.013270734	121.09747	-0.0009386074	-74.24469	7.3619514	0.0002858317	567.1920607089996
47	317.01477	119.00284	439.30878	90.42736	1000.0	32.89224	13.932438	60.851627	7.187504	240000	-0.07586012	576.2623	-0.0014229119	-500.86743	7.358773	0.00046169382	579.8386104106903
48	378.56256	70.40368	475.15555	277.4855	1000.0	38.402264	7.754784	57.668488	13.619901	245000	-0.03408072	119.76803	-0.00044349208	-64.77803	7.3091125	0.00039551378	592.5361697673798
49	320.05075	69.86189	395.63638	200.57872	1000.0	24.32573	11.233074	53.922775	-2.6328816	250000	-0.0083724605	125.653915	-0.0010379432	-67.450836	7.3084483	0.00017608785	605.8840792179108
50	313.17523	92.303925	412.87646	187.45576	1000.0	31.121338	7.818992	58.30677	8.685211	255000	0.038440853	87.74485	-0.0010121055	-32.43743	7.3057127	1.6749811e-05	619.3061084747314
51	372.71246	54.161217	431.0589	272.40433	1000.0	32.632267	6.0953083	52.040768	14.080599	260000	0.01292963	87.853546	-0.0015505711	-45.855045	7.327962	5.475836e-05	632.4564640522003
52	358.93622	93.23757	428.92853	175.1035	1000.0	24.039959	20.270441	58.72704	-32.63202	265000	-0.007651233	196.1977	-0.0008664187	-153.31432	7.292078	0.000123352	645.1180872917175
