Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-78.3649	133.48227	120.367516	-283.0576	1000.0	0.42402667	0.08049634	0.7228887	-0.44088718	5000	0.05623731	258.91876	-0.0059350207	-119.00336	7.379589	0.0018551556	12.330167531967163
1	-142.90111	65.13276	-28.536198	-213.76515	1000.0	-6.4163	3.6356852	2.8748124	-14.588144	10000	0.029132547	216.84567	-0.004626615	-89.87426	7.307278	0.0011547006	22.423136472702026
2	-123.48216	105.221306	38.572586	-279.97995	1000.0	-15.577183	3.692115	-2.3201458	-23.534233	15000	0.013817821	119.44375	-0.004725136	-40.976402	7.330375	0.00057112734	30.257707595825195
3	-109.26101	175.47803	125.89384	-327.89545	1000.0	-9.992653	7.4530916	10.059736	-24.992853	20000	0.012556143	270.9064	-0.0031022886	-192.1113	7.332775	-7.531271e-05	37.628669023513794
4	-96.78371	106.686165	82.43704	-222.65334	1000.0	-11.538166	16.719862	22.561905	-39.376003	25000	0.018665267	127.86153	-0.0021635946	-72.96205	7.349744	-0.00011549931	50.16049838066101
5	-158.8075	115.040924	-2.2509904	-324.43118	1000.0	-13.514563	9.949613	9.397446	-30.189083	30000	0.017978247	115.84726	-0.003865039	-34.123283	7.276267	0.0021832832	62.18406891822815
6	-47.47628	85.77786	48.288475	-180.9443	1000.0	-2.1237466	11.8637295	16.29063	-31.713877	35000	0.017759882	84.52363	-0.0041478043	-40.088238	7.409897	0.0010824101	69.57445931434631
7	14.215634	155.22488	152.34148	-286.18015	1000.0	1.2678535	12.917924	28.61007	-31.095318	40000	0.052239116	107.132614	-0.0025993437	-61.89499	7.3454385	0.00088868296	76.9451584815979
8	10.587472	88.8025	166.43903	-84.50261	1000.0	1.2967751	15.434279	29.665964	-23.464966	45000	0.011279001	163.85022	-0.0041937316	-112.85712	7.3950844	0.0015936991	86.12285614013672
9	27.57482	122.00559	153.56563	-192.82117	1000.0	-3.464908	15.884963	33.8542	-39.66839	50000	0.042108495	115.284424	-0.0031095482	-81.03851	7.3556194	0.00014951901	95.47213578224182
