Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-3.5256944	4.81435	28.063017	-42.048214	28.542856	0.13704233	0.10610961	0.42803383	-0.23625375	5000	-6.251335e-08	25.527052	-0.008187955	-10.816049	7.3925953	0.018663047	0.2894	2.0	11.966259002685547
1	-2.2887723	10.72443	35.329872	-55.820023	44.18182	-1.5794796	1.8693539	2.433652	-5.7506065	10000	-4.2438506e-09	58.91288	-0.035138555	-24.402119	7.3461595	0.0084251985	0.2042	79.0	24.22711420059204
2	1.1175528	9.713196	68.168396	-8.188435	45.72477	0.17251387	3.4866357	11.585999	-10.932738	15000	8.392334e-09	37.716393	-0.010553186	-16.8528	7.3172812	0.016522368	0.2778	4.0	36.42141318321228
3	1.7382673	19.5613	27.417986	-143.7319	74.06061	1.3471729	3.7282314	11.757479	-10.886443	20000	2.2220611e-08	56.682056	-0.008024107	-36.05778	7.2976947	0.017567758	0.2296	5.0	47.9113872051239
4	0.64599806	30.740639	33.64759	-145.89578	171.27586	1.7995489	4.8545027	12.095756	-12.447037	25000	8.392334e-09	129.4191	-0.007954972	-95.11427	7.310576	0.0138865495	0.1922	5.0	60.37643051147461
5	11.316131	15.058842	38.139187	-23.415617	177.39285	-0.51798236	7.383729	14.99755	-16.53707	30000	1.449585e-08	50.750217	-0.010096613	-20.862984	7.287108	0.016361915	0.1806	7.0	73.26938009262085
6	12.67029	21.354784	59.84116	-52.424175	237.7619	0.8532395	5.8311443	21.905216	-13.315315	35000	-1.4400483e-08	50.675808	-0.025223952	-35.86666	7.3402843	0.015740726	0.129	24.0	85.74734687805176
7	3.0798283	42.949627	46.33095	-123.18987	334.08334	0.29656786	4.8694086	18.412687	-8.114112	40000	-3.4332275e-09	116.018936	-0.030241998	-88.69029	7.275036	0.0077734576	0.1534	79.0	98.95807766914368
8	14.247664	24.627792	51.307507	-46.940292	274.5625	1.6989605	7.1168585	21.681986	-17.814646	45000	7.6293943e-10	53.919064	-0.017538529	-28.218317	7.217122	0.016916255	0.1852	14.0	111.07221937179565
9	-1.8770376	31.585512	33.602573	-69.8049	405.66666	-3.6752062	9.390285	21.54268	-20.686148	50000	-6.6757204e-09	51.531605	-0.02620569	-26.786242	7.2010875	0.015282997	0.154	27.0	123.21879601478577
10	23.627665	26.720121	70.381966	-35.649685	216.86957	0.7460107	7.135402	19.586706	-22.973448	55000	-4.577637e-09	104.7487	-0.016701438	-75.81578	7.1152015	0.014931378	0.1242	17.0	135.930349111557
11	22.926666	29.660131	76.674545	-65.34271	253.36842	4.117201	8.1025	25.810871	-15.945338	60000	-9.918213e-09	81.57401	-0.0383872	-44.74235	7.210886	0.0108362585	0.194	79.0	148.5893452167511
