Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-113.96647	93.39505	19.376688	-265.35345	1000.0	0.42722148	0.083427526	0.7858519	-0.3713158	5000	-6.5803526e-08	246.2184	-0.02417368	-130.60184	7.379589	0.011183631	0.1432	79.0	13.110518455505371
1	-163.5557	140.91652	58.565968	-385.46155	1000.0	-11.4309845	1.5534078	-5.4493513	-17.72551	10000	3.3855438e-09	264.4362	-0.023686813	-151.34457	7.365822	0.008449983	0.1252	79.0	25.6308434009552
2	-141.25348	174.72849	128.93135	-380.73166	1000.0	-16.44913	11.5180235	-0.12611428	-45.793396	15000	-2.4223327e-08	174.00824	-0.025909504	-77.54929	7.3970194	0.008400295	0.1408	79.0	39.5481162071228
3	-16.562471	141.15694	173.90602	-248.86678	1000.0	-4.326007	12.365266	14.286316	-41.76241	20000	-1.0585785e-08	160.6033	-0.039718796	-98.23143	7.3900228	0.0063957293	0.1996	79.0	51.823638916015625
4	31.943142	191.52083	202.04037	-234.83914	1000.0	-0.51884764	16.983856	25.023167	-35.780605	25000	-1.3160705e-08	106.6997	-0.0368435	-61.46772	7.387068	0.0105672795	0.1648	79.0	64.744140625
5	-25.071075	163.67009	194.88431	-291.0328	1000.0	-4.7573943	19.539133	27.441732	-39.887955	30000	2.117157e-08	123.13293	-0.007075137	-71.74797	7.2460155	0.018674208	0.1816	5.0	77.15664052963257
6	-41.5281	199.68565	215.84993	-286.27292	1000.0	-3.7582715	17.911438	26.029894	-35.557114	35000	-2.4032593e-08	77.869736	-0.03489375	-30.491177	7.381814	0.012932092	0.1902	79.0	90.10302376747131
7	101.36247	158.1185	238.35968	-204.3765	1000.0	10.368173	18.277256	27.76763	-34.687256	40000	1.411438e-08	93.60814	-0.035414547	-44.476254	7.2580924	0.008945924	0.1854	79.0	103.00159168243408
8	115.757034	86.00449	217.64499	-4.850449	1000.0	11.238668	12.671555	32.585617	-32.213562	45000	-1.1348725e-08	127.51692	-0.03549059	-68.79523	7.287872	0.012996198	0.171	79.0	115.40446090698242
9	86.89357	53.936073	172.04558	36.235374	1000.0	7.0215983	14.527644	38.97743	-29.665867	50000	1.27792354e-08	65.373825	-0.038525492	-32.982967	7.2676444	0.010909168	0.2108	79.0	128.24328112602234
10	137.25958	119.53665	263.7815	-70.81329	1000.0	13.439647	16.13052	44.41624	-22.682394	55000	-4.196167e-09	78.89534	-0.010394194	-30.589409	7.200386	0.019171774	0.266	4.0	140.3921401500702
11	152.67757	77.29126	251.02591	60.931778	1000.0	7.882291	12.893233	37.757137	-28.473928	60000	1.9073487e-09	98.65466	-0.044497427	-64.231476	7.2265205	0.012399532	0.2286	79.0	152.62369871139526
12	232.47949	48.48384	298.55273	152.86172	1000.0	28.413925	12.379963	52.784336	-6.2242227	65000	-3.5476685e-08	183.17805	-0.036487054	-156.19225	7.218336	0.0064053186	0.1814	79.0	165.9162826538086
13	274.09613	45.391483	342.48846	224.98584	1000.0	21.377493	9.090911	43.822205	-3.9380026	70000	3.8146972e-10	96.39712	-0.04833876	-56.89873	7.134514	0.010903267	0.2216	79.0	177.918142080307
14	297.95267	21.370226	335.43198	271.53253	1000.0	24.415169	8.195295	49.294525	5.2835793	75000	3.9100647e-09	53.650414	-0.0435457	-24.57849	7.1032014	0.010223982	0.2118	79.0	190.7670168876648
15	208.85608	141.97696	317.6006	-72.03976	1000.0	25.454365	9.896849	53.049747	0.090804726	80000	-5.5885316e-08	163.68883	-0.04367965	-127.38338	7.054915	0.010858878	0.1962	79.0	203.98620867729187
16	305.5301	42.373627	370.25497	257.2253	1000.0	25.167204	9.938978	49.570934	4.277566	85000	-2.193451e-08	44.811256	-0.008253516	-18.785288	7.108504	0.019849041	0.2344	4.0	216.51343297958374
17	282.40607	134.8068	378.30194	14.459387	1000.0	24.156408	15.502648	56.49786	-16.304089	90000	2.8276444e-08	94.65287	-0.0444625	-54.103233	7.0477624	0.015090412	0.215	73.0	229.08226871490479
18	326.65076	42.425774	367.52805	248.56244	1000.0	31.620462	6.7837625	48.41705	9.377911	95000	-4.386902e-09	65.41193	-0.034741886	-32.6287	6.955904	0.0011843725	0.1752	79.0	242.04447746276855
19	196.30717	145.52768	404.0478	-12.678634	1000.0	35.428406	11.444629	56.161575	-15.875857	100000	1.1444092e-09	804.3437	-0.045445733	-740.2909	6.999623	-0.002610606	0.2336	79.0	254.836688041687
20	307.4389	99.92615	376.7227	109.20844	1000.0	27.681793	10.934617	50.75086	-2.3763804	105000	5.722046e-09	72.61634	-0.049672708	-19.042778	6.9411225	0.012561146	0.2252	79.0	267.904913187027
21	384.1583	39.673374	422.05557	314.18353	1000.0	35.272995	7.4290133	56.88705	12.497139	110000	-3.6239625e-09	71.12134	-0.04013561	-13.270294	6.957933	0.010991558	0.234	79.0	280.58855843544006
22	368.7092	31.650879	409.4017	324.7657	1000.0	32.096893	8.253026	58.263683	17.775045	115000	-3.8146972e-10	60.11243	-0.026507644	-11.690357	6.919358	0.015209183	0.1662	28.0	293.1428520679474
23	389.59848	37.73611	452.5335	346.3594	1000.0	36.609333	6.2600937	52.321095	21.500004	120000	1.3160705e-08	60.40035	-0.007826202	-11.1880455	6.8203564	0.020392634	0.2714	4.0	305.6900978088379
24	377.57117	74.9901	458.24316	267.5845	1000.0	32.4919	7.679282	59.207355	5.2979784	125000	1.2588501e-08	82.07551	-0.054676	-30.053944	6.856247	0.012109634	0.2596	79.0	319.17635560035706
